,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
977,13819021,Alpaca-13B,"['President', 'World War I cemetery in France']","['Not found', 'Not found']","The dialogue snippet provided above revolves around the decision of President Trump to skip a ceremony at a World War I cemetery in France due to rain. The participants in the dialogue express their disappointment and shame in Trump for missing the ceremony, with some even going as far as to call him a ""snowflake"" and a ""pussy"". Others suggest that he was afraid of his hair and makeup being ruined, or that he was simply being selfish and inconsiderate.",1,"['Extrinsic_Error', 'Extrinsic_Error']","Janet: I am ashamed. Who voted for this pussy? It''s your fault.
Alison: Remember the Wizard of Oz? He might have melted.
Nicole: He’s a sissy boy.
Cheryl:  RAIN omfg thats so shameful and disrespectful 😡
Buff: Pussy in Chief.
Linda: Trump is selfish and inconsiderate.
Janet: What an embarrassment to our nation and the world!!!
Roz: Where is Elsie? I miss you vomit 😊
Cheryl: WTF EVER trumpola didnt want to mess up his pity full comb over.....
Janet: Trump = snowflake
Linda: Baby. He’s a spoiled brat baby. Nothing about Donald Trump to be proud of or want to defend.
Arlene: HIs hair and makeup would have been ruined!
Roz: Exactly 😊
Leslie: Which adviser, who he doesn''t listen to anyway, thought missing this ceremony was a good idea? Shameful!
Eric: What a pussy. We should grab him and kick him to the curb.
Sue: All the other leaders managed to make it, so there is no excuse, for me.
Roz:  It''s all about the hair.
Sue: afraid the colour of his orange hair would run????
Linda: Never heard of an umbrella :)",SAMSum,"['World Knowledge', 'World Knowledge']"
979,test_117,BART,"['because', ""Harry's wife worries too much""]",[],Harry tells #Person1# they may travel by sea because Harry's wife worries too much.,1,"['Intrinsic_Error', 'Intrinsic_Error']","#Person1#: Where are you going to spend your holidays this year, Harry?
#Person2#: We may go abroad. I'm not sure. My wife wants to go to Egypt. I'd like to go there, too. We can't make up our minds.
#Person1#: Will you travel by sea or by air?
#Person2#: We may travel by sea.
#Person1#: It's cheaper, isn't it?
#Person2#: It may be cheaper, but it takes a long time.
#Person1#: I'm sure you will enjoy yourselves.
#Person2#: Don't be so sure. We may not go anywhere. My wife always worries too much. Who's going to look after the dog? Who's going to look after the house? Who's going to look after the garden? We have to solve these things before we can go to travel.",DialogSum,"['Logical Error', 'INVALID']"
982,test_117,GPT-4,[],[],"Harry and his wife are considering going abroad for their holidays, possibly to Egypt, but have not made a final decision. They are considering travelling by sea because it is potentially cheaper, but acknowledge that it will take longer. Despite the optimism from the other person, Harry is uncertain they will go anywhere due to his wife's concerns about who will look after their dog, house, and garden while they are away.",0,[],"#Person1#: Where are you going to spend your holidays this year, Harry?
#Person2#: We may go abroad. I''m not sure. My wife wants to go to Egypt. I''d like to go there, too. We can''t make up our minds.
#Person1#: Will you travel by sea or by air?
#Person2#: We may travel by sea.
#Person1#: It''s cheaper, isn''t it?
#Person2#: It may be cheaper, but it takes a long time.
#Person1#: I''m sure you will enjoy yourselves.
#Person2#: Don''t be so sure. We may not go anywhere. My wife always worries too much. Who''s going to look after the dog? Who''s going to look after the house? Who''s going to look after the garden? We have to solve these things before we can go to travel.",DialogSum,[]
983,test_117,Alpaca-13B,['Harry and his wife are discussing their upcoming holiday plans'],"[""#Person2# :  We may go abroad. I'm not sure. My wife wants to go to Egypt. I'd like to go there, too. We can't make up our minds.""]","Harry and his wife are discussing their upcoming holiday plans. Harry would like to go to Egypt, but his wife is undecided. They are considering travelling by sea, which is cheaper but takes longer. Harry is not sure if they will be able to go anywhere due to his wife's worries.",1,['Intrinsic_Error'],"#Person1#: Where are you going to spend your holidays this year, Harry?
#Person2#: We may go abroad. I''m not sure. My wife wants to go to Egypt. I''d like to go there, too. We can''t make up our minds.
#Person1#: Will you travel by sea or by air?
#Person2#: We may travel by sea.
#Person1#: It''s cheaper, isn''t it?
#Person2#: It may be cheaper, but it takes a long time.
#Person1#: I''m sure you will enjoy yourselves.
#Person2#: Don''t be so sure. We may not go anywhere. My wife always worries too much. Who''s going to look after the dog? Who''s going to look after the house? Who''s going to look after the garden? We have to solve these things before we can go to travel.",DialogSum,['Referential Error']
986,13728117,BART,"[None, None, None]",[],Sam is interested in the earphones Lia is selling. He will buy the white ones for 187.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Sam: <file_gif>
Sam: Good afternoon, is this available?
Lia: Hi, how can I help you?
Sam: I'm interested in this product. Are the earphones available?
Lia: Yes, they are.
Sam: where can I collect them?
Lia: Well, you can have them delivered to you through courrier - this costs 4 (pay on delivery)
Lia: I'm afraid collecting them personally is a little difficult, as the product can only be collected in Garstang (where the company is located)
Sam: Okay.
Sam: Are they new? Do you have any other colors that white?
Lia: Completely new - we also offer grey and pink.
Sam: Then I would like the white ones please.
Lia: Okay, so I just need your address and telephone
Sam: The total costs 187 - can I lower the price to 180??
Lia: fraid not - company policy.
Sam: Oh, okay.
Sam: How long does it take for the product to arrive?
Lia: It generally arrives the next day, in rare instances it's longer.",FacEval,['Logical Error']
988,13728117,GPT-4,[],[],"Sam inquired about the availability of a pair of earphones from Lia. Lia clarified that they are indeed in stock and while they cannot be collected in person unless in Garstang, they can be delivered via courier for a fee. The earphones, available in white, grey and pink, are completely new. Sam decided to purchase the white ones. Despite his attempt to negotiate the price down from 187, Lia explained that it was against company policy. The product is expected to be delivered the next day.",0,[],"Sam: <file_gif>
Sam: Good afternoon, is this available?
Lia: Hi, how can I help you?
Sam: I''m interested in this product. Are the earphones available?
Lia: Yes, they are.
Sam: where can I collect them?
Lia: Well, you can have them delivered to you through courrier - this costs 4 (pay on delivery)
Lia: I''m afraid collecting them personally is a little difficult, as the product can only be collected in Garstang (where the company is located)
Sam: Okay.
Sam: Are they new? Do you have any other colors that white?
Lia: Completely new - we also offer grey and pink.
Sam: Then I would like the white ones please.
Lia: Okay, so I just need your address and telephone
Sam: The total costs 187 - can I lower the price to 180??
Lia: fraid not - company policy.
Sam: Oh, okay.
Sam: How long does it take for the product to arrive?
Lia: It generally arrives the next day, in rare instances it''s longer.",FacEval,[]
989,13728117,Alpaca-13B,['provides their address and telephone number'],['Not found'],"Sam is interested in purchasing a product from Lia, but wants to know more information about the product before committing. They discuss the cost, availability, color options, and delivery times. In the end, Sam decides to purchase the product and provides their address and telephone number.",1,['Extrinsic_Error'],"Sam: <file_gif>
Sam: Good afternoon, is this available?
Lia: Hi, how can I help you?
Sam: I''m interested in this product. Are the earphones available?
Lia: Yes, they are.
Sam: where can I collect them?
Lia: Well, you can have them delivered to you through courrier - this costs 4 (pay on delivery)
Lia: I''m afraid collecting them personally is a little difficult, as the product can only be collected in Garstang (where the company is located)
Sam: Okay.
Sam: Are they new? Do you have any other colors that white?
Lia: Completely new - we also offer grey and pink.
Sam: Then I would like the white ones please.
Lia: Okay, so I just need your address and telephone
Sam: The total costs 187 - can I lower the price to 180??
Lia: fraid not - company policy.
Sam: Oh, okay.
Sam: How long does it take for the product to arrive?
Lia: It generally arrives the next day, in rare instances it''s longer.",FacEval,['Circumstantial Inference']
992,13809941,BART,[],[],Thelma doesn't have anything to wear. Louisa will bring her her red velvet dress.,0,[],"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",FacEval,[]
994,13809941,GPT-4,[],[],"Thelma expresses concern about not having anything suitable to wear. Louisa reminds her of her filled wardrobe, but Thelma insists she needs to look exceptional. Offering to help, Louisa suggests lending her red velvet dress to Thelma, who gratefully accepts the offer.",0,[],"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",FacEval,[]
995,13809941,Alpaca-13B,['to the party'],['Not found'],"Thelma is in a dilemma because she doesn't have anything to wear to the party, but Louisa offers to lend her a dress, which makes Thelma very happy.",1,['Extrinsic_Error'],"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",FacEval,['Circumstantial Inference']
998,13680757,BART,[],[],Greg needs to stay after hours and asks Betsy to pick up Johnny. She can't do it as she has to work long hours.,0,[],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.",FacEval,[]
1000,13680757,GPT-4,['their son'],['Not found'],"Greg informs Betsy he needs to stay after work, leading to a conflict as their son Johnny has to be picked up from kindergarten, which usually falls on Greg's responsibility on Tuesdays. Betsy also can't do it as she's working long hours. The conversation ends with an unsolved issue as to who will attend to Johnny.",1,['Extrinsic_Error'],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I''m sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can''t?
Greg: Betsy?
Betsy: What if I can''t?
Greg: Can''t you, really?
Betsy: I can''t. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I''ll see what I can do.
Betsy: You''d better think of something.
Greg: Oh. Just stop it now.",FacEval,['Circumstantial Inference']
1001,13680757,Alpaca-13B,['his wife'],['Not found'],"Greg has to stay late at work and asks his wife Betsy to pick up their son Johnny from daycare. Betsy says she can't because she has to work long hours as well, and Greg needs to come up with an alternative plan.",1,['Extrinsic_Error'],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I''m sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can''t?
Greg: Betsy?
Betsy: What if I can''t?
Greg: Can''t you, really?
Betsy: I can''t. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I''ll see what I can do.
Betsy: You''d better think of something.
Greg: Oh. Just stop it now.",FacEval,['Circumstantial Inference']
1003,13680757,BART,[],[],Greg needs to stay after hours and asks Betsy to pick Johnny up. She can't do it as she has to work long hours today.,0,[],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.",SAMSum,[]
1006,13680757,GPT-4,['their son'],['Not found'],"Greg informs Betsy he needs to stay after work, leading to a conflict as their son Johnny has to be picked up from kindergarten, which usually falls on Greg's responsibility on Tuesdays. Betsy also can't do it as she's working long hours. The conversation ends with an unsolved issue as to who will attend to Johnny.",1,['Extrinsic_Error'],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I''m sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can''t?
Greg: Betsy?
Betsy: What if I can''t?
Greg: Can''t you, really?
Betsy: I can''t. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I''ll see what I can do.
Betsy: You''d better think of something.
Greg: Oh. Just stop it now.",SAMSum,['Circumstantial Inference']
1007,13680757,Alpaca-13B,['his wife'],['Not found'],"Greg has to stay late at work and asks his wife Betsy to pick up their son Johnny from daycare. Betsy says she can't because she has to work long hours as well, and Greg needs to come up with an alternative plan.",1,['Extrinsic_Error'],"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I''m sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can''t?
Greg: Betsy?
Betsy: What if I can''t?
Greg: Can''t you, really?
Betsy: I can''t. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I''ll see what I can do.
Betsy: You''d better think of something.
Greg: Oh. Just stop it now.",SAMSum,['Circumstantial Inference']
1009,13811296,BART,[],[],"Harry will buy a table cloth 120 cm x 140 cm, two medium size wardrobe organisers, one wooden spatula and three bottle cleaners for Sarah at Ikea. He will also buy Daim's frozen cake and a bag of meatballs.",0,[],"Harry: Going to Ikea, need anything?
Sarah: Oh yes! :D
Harry: perfect XD
Sarah: So could you please buy for me: white table cloth 120 cm x 140 cm, as simple as it gets, two medium size wardrobe organisers (the ones with grey flowers), one wooden spatula and three bottle cleaners.
Sarah: If you happen to go the food section, I wouldn't mind a Daim's frozen cake and a bag of meatballs ;)
Harry: Ok, got it. Will do my best.
Sarah: You can use my Ikea Family card, just give them the number and my last name and tell them you forgot to bring it ;) 17927192.
Harry: Thanks! Stay online, I may need your help.
Harry: <file_photo>
Harry: Is this table cloth ok? Or that one?
Harry: <file_photo>
Sarah: First one's perfect ;)",SAMSum,[]
1012,13811296,GPT-4,[],[],"Harry is going to Ikea and asks Sarah if she needs anything. Sarah requests a white tablecloth of specific measurements, two medium wardrobe organisers with grey flowers, a wooden spatula, three bottle cleaners, a Daim's frozen cake and a bag of meatballs. She gives Harry her Ikea Family card number to use for the purchase. Harry sends Sarah a photo for her to confirm her choice of tablecloth, and she selects the first one in the picture.",0,[],"Harry: Going to Ikea, need anything?
Sarah: Oh yes! :D
Harry: perfect XD
Sarah: So could you please buy for me: white table cloth 120 cm x 140 cm, as simple as it gets, two medium size wardrobe organisers (the ones with grey flowers), one wooden spatula and three bottle cleaners.
Sarah: If you happen to go the food section, I wouldn''t mind a Daim''s frozen cake and a bag of meatballs ;)
Harry: Ok, got it. Will do my best.
Sarah: You can use my Ikea Family card, just give them the number and my last name and tell them you forgot to bring it ;) 17927192.
Harry: Thanks! Stay online, I may need your help.
Harry: <file_photo>
Harry: Is this table cloth ok? Or that one?
Harry: <file_photo>
Sarah: First one''s perfect ;)",SAMSum,[]
1013,13811296,Alpaca-13B,[],[],Harry and Sarah are discussing a shopping list for Ikea. Harry is going to Ikea and Sarah is providing him with a list of items to buy. Harry is asking Sarah which table cloth to get and Sarah is helping him choose.,0,[],"Harry: Going to Ikea, need anything?
Sarah: Oh yes! :D
Harry: perfect XD
Sarah: So could you please buy for me: white table cloth 120 cm x 140 cm, as simple as it gets, two medium size wardrobe organisers (the ones with grey flowers), one wooden spatula and three bottle cleaners.
Sarah: If you happen to go the food section, I wouldn''t mind a Daim''s frozen cake and a bag of meatballs ;)
Harry: Ok, got it. Will do my best.
Sarah: You can use my Ikea Family card, just give them the number and my last name and tell them you forgot to bring it ;) 17927192.
Harry: Thanks! Stay online, I may need your help.
Harry: <file_photo>
Harry: Is this table cloth ok? Or that one?
Harry: <file_photo>
Sarah: First one''s perfect ;)",SAMSum,[]
1016,13829902,BART,[],[],Geri and Hilary will go together to get some frozen yogurt tomorrow.,0,[],"Geri: I need to buy some new shoes
Hilary: what kind?
Geri: some nice heels
Geri: something sexy
Hilary: I sa spome great ones at the mall yesterday
Geri: great! thanks
Geri: wanna go together check them out
Hilary: ok maybe 2morrow
Hilary: after work?
Geri: sounds good
Geri: we can get some frozen yogurt
Hilary: Oh yeah
Hilary: I love that place!
Geri: it's been a while since I had some
Hilary: it's a plan
Geri: ok I'll be in touch
Hilary: ok :)",FacEval,[]
1018,13829902,GPT-4,[],[],Geri and Hilary are planning to go shoe shopping for new heels at the mall. They're arranging to meet up after work the next day. They're also planning to get some frozen yogurt during their shopping trip.,0,[],"Geri: I need to buy some new shoes
Hilary: what kind?
Geri: some nice heels
Geri: something sexy
Hilary: I sa spome great ones at the mall yesterday
Geri: great! thanks
Geri: wanna go together check them out
Hilary: ok maybe 2morrow
Hilary: after work?
Geri: sounds good
Geri: we can get some frozen yogurt
Hilary: Oh yeah
Hilary: I love that place!
Geri: it''s been a while since I had some
Hilary: it''s a plan
Geri: ok I''ll be in touch
Hilary: ok :)",FacEval,[]
1019,13829902,Alpaca-13B,[],[],"Geri and Hilary are discussing shopping for new shoes, with Geri initially looking for something sexy and Hilary suggesting some great ones she saw at the mall the day before. They agree to go shopping together the next day after work, with the plan to get some frozen yogurt as well.",0,[],"Geri: I need to buy some new shoes
Hilary: what kind?
Geri: some nice heels
Geri: something sexy
Hilary: I sa spome great ones at the mall yesterday
Geri: great! thanks
Geri: wanna go together check them out
Hilary: ok maybe 2morrow
Hilary: after work?
Geri: sounds good
Geri: we can get some frozen yogurt
Hilary: Oh yeah
Hilary: I love that place!
Geri: it''s been a while since I had some
Hilary: it''s a plan
Geri: ok I''ll be in touch
Hilary: ok :)",FacEval,[]
1022,13682408,BART,"[None, None, None, None]",[],Sophie's spirit animal is a dolphin. Jenkin will bring Sophie a pack of cards tomorrow.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Jenkin: hey what is your spirit animal?
Sophie: what?
Jenkin: go on?
Sophie: I dont know a fox lol
Jenkin: are you wiley?
Sophie: sometimes
Jenkin: I am a dolphin
Sophie: I think you are a bit mad like the mad hatter
Jenkin: I have been reading about animal spirits its quite good
Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you?
Jenkin: There is a pack of cards and you choose the one that you are drawn to 
Sophie: oh right I would choose the Fox
Jenkin: well I didn't know but I was drawn to the dolphin
Sophie: oh
Jenkin: I will bring them over tomorrow
Sophie: oh yes please that will be great",FacEval,['Referential Error']
1024,13682408,GPT-4,[],[],"Jenkin and Sophie discuss their spirit animals, with Sophie saying she might be a fox and Jenkin identifying as a dolphin. Jenkin explains he discovered his spirit animal through a deck of cards that you pick one you are drawn to. Sophie shows interest, and Jenkin promises to bring the cards over for her to try it out.",0,[],"Jenkin: hey what is your spirit animal?
Sophie: what?
Jenkin: go on?
Sophie: I dont know a fox lol
Jenkin: are you wiley?
Sophie: sometimes
Jenkin: I am a dolphin
Sophie: I think you are a bit mad like the mad hatter
Jenkin: I have been reading about animal spirits its quite good
Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you?
Jenkin: There is a pack of cards and you choose the one that you are drawn to 
Sophie: oh right I would choose the Fox
Jenkin: well I didn''t know but I was drawn to the dolphin
Sophie: oh
Jenkin: I will bring them over tomorrow
Sophie: oh yes please that will be great",FacEval,[]
1025,13682408,Alpaca-13B,['that Sophie should choose the fox'],['Sophie :  I dont know a fox lol'],"Jenkin and Sophie are talking about spirit animals. Jenkin reveals that he is a dolphin, while Sophie thinks he is a bit mad like the Mad Hatter. Jenkin then says he has been reading about animal spirits and that Sophie should choose the fox. Sophie then asks how one decides what their animal is, and Jenkin explains that there is a pack of cards and you choose the one that you are drawn to. Sophie then says she would choose the Fox, but Jenkin reveals that he was drawn to the dolphin. Sophie is intrigued and asks him to bring the cards over the next day.",1,['Intrinsic_Error'],"Jenkin: hey what is your spirit animal?
Sophie: what?
Jenkin: go on?
Sophie: I dont know a fox lol
Jenkin: are you wiley?
Sophie: sometimes
Jenkin: I am a dolphin
Sophie: I think you are a bit mad like the mad hatter
Jenkin: I have been reading about animal spirits its quite good
Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you?
Jenkin: There is a pack of cards and you choose the one that you are drawn to 
Sophie: oh right I would choose the Fox
Jenkin: well I didn''t know but I was drawn to the dolphin
Sophie: oh
Jenkin: I will bring them over tomorrow
Sophie: oh yes please that will be great",FacEval,['Referential Error']
1028,13821299,BART,[],[],Tobias found Natalie's wallet.,0,[],"Natalie: Could anybody check if my wallet is in my room?
Jenny: I'm not home
Tobias: It's here <file_photo>
Natalie: phew",FacEval,[]
1030,13821299,GPT-4,"[""Tobias confirmed that the wallet was in Natalie's room""]",['Not found'],"Natalie asked if someone could check if her wallet was in her room. Jenny responded that she was not at home, but Tobias confirmed that the wallet was in Natalie's room and he shared a photo of it. Natalie expressed relief upon receiving the confirmation.",1,['Extrinsic_Error'],"Natalie: Could anybody check if my wallet is in my room?
Jenny: I''m not home
Tobias: It''s here <file_photo>
Natalie: phew",FacEval,['Circumstantial Inference']
1031,13821299,Alpaca-13B,['told her it was not there'],"[""Jenny :  I'm not home""]","Natalie was looking for her wallet and asked if it was in her room. Jenny, who was not home, told her it was not there. Tobias eventually confirmed that it was, in fact, in her room. Natalie sighed in relief.",1,['Intrinsic_Error'],"Natalie: Could anybody check if my wallet is in my room?
Jenny: I''m not home
Tobias: It''s here <file_photo>
Natalie: phew",FacEval,['Circumstantial Inference']
1034,13731225,BART,[],[],Bert is getting home around 8-ish. Julia will wait for him with the dinner.,0,[],"Julia: Hey, what time are you getting home?
Bert: 8-ish. Why?
Julia: I was wondering if we should wait for you with the dinner?
Bert: Yeah, that would be nice of you. I'll try to get there on time
Julia: Ok. Call me if you're running late
Bert: I will. xx",FacEval,[]
1036,13731225,GPT-4,['asks to wait for him to have dinner'],['Julia :  I was wondering if we should wait for you with the dinner?'],Bert tells Julia he will be home around 8 and asks to wait for him to have dinner. Julia agrees and tells Bert to inform her if he's running late.,1,['Intrinsic_Error'],"Julia: Hey, what time are you getting home?
Bert: 8-ish. Why?
Julia: I was wondering if we should wait for you with the dinner?
Bert: Yeah, that would be nice of you. I''ll try to get there on time
Julia: Ok. Call me if you''re running late
Bert: I will. xx",FacEval,['Logical Error']
1037,13731225,Alpaca-13B,[],[],Bert is talking to Julia about when he will be getting home for dinner. He says he will try to get there on time and Julia offers to wait for him. Bert agrees to call her if he is running late.,0,[],"Julia: Hey, what time are you getting home?
Bert: 8-ish. Why?
Julia: I was wondering if we should wait for you with the dinner?
Bert: Yeah, that would be nice of you. I''ll try to get there on time
Julia: Ok. Call me if you''re running late
Bert: I will. xx",FacEval,[]
1039,13682269,BART,[],[],James will pick the car up tomorrow and pay for it. Sue will transfer the money in.,0,[],"Sue: can you pick the car up after work tomorrow please
James: yes and pay?
Sue: yes I will transfer the money in 
James: ok x",SAMSum,[]
1042,13682269,GPT-4,[],[],Sue asks James to pick up the car after work the next day and confirms she will transfer the money for payment. James agrees to do so.,0,[],"Sue: can you pick the car up after work tomorrow please
James: yes and pay?
Sue: yes I will transfer the money in 
James: ok x",SAMSum,[]
1043,13682269,Alpaca-13B,"[""James offers to pick up Sue's car ""]",['Sue :  can you pick the car up after work tomorrow please'],James offers to pick up Sue's car after work the next day and Sue agrees to pay him for the service.,1,['Intrinsic_Error'],"Sue: can you pick the car up after work tomorrow please
James: yes and pay?
Sue: yes I will transfer the money in 
James: ok x",SAMSum,['Logical Error']
1046,13611442,BART,[],[],Helen needs Simon to fetch some tissues.,0,[],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what's up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn't hear you... Tell me.
Helen: It's a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",FacEval,[]
1048,13611442,GPT-4,['he was unavailable'],"[""I didn't hear you""]","Helen was trying to reach Simon, but he was unavailable because he was on the phone. Once they connected, Helen asked Simon to bring her some tissues because the toilet paper had run out. He agreed with a laugh.",1,['Intrinsic_Error'],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",FacEval,['Circumstantial Inference']
1049,13611442,Alpaca-13B,[],[],Helen asked Simon to get her some tissues because the toilet paper was finished. Simon agreed to get them for her.,0,[],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",FacEval,[]
1051,13611442,BART,[],[],Simon will fetch Helen some tissues.,0,[],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what's up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn't hear you... Tell me.
Helen: It's a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",SAMSum,[]
1054,13611442,GPT-4,['he was unavailable'],"[""I didn't hear you""]","Helen was trying to reach Simon, but he was unavailable because he was on the phone. Once they connected, Helen asked Simon to bring her some tissues because the toilet paper had run out. He agreed with a laugh.",1,['Intrinsic_Error'],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",SAMSum,['Circumstantial Inference']
1055,13611442,Alpaca-13B,[],[],Helen asked Simon to get her some tissues because the toilet paper was finished. Simon agreed to get them for her.,0,[],"Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!",SAMSum,[]
1057,13829183,BART,[],[],Israel hasn't sewn anything yet. Autumn hasn't checked the tests for a month because the dress wouldn't sew itself. She will show Israel the photos of the dress soon.,0,[],"Autumn: u sewn anything?
Autumn: show me show me!! :D
Autumn: <file_gif>
Israel: no :(
Israel: haven't had the time yet  ;(
Autumn: ooh :( 
Autumn: u need to have pririorities in life!
Autumn: like me - i haven't checked the tests for a month because the dress wouldn't sew itself :D
Israel: you've sewn a dres??
Israel: you didn't show it to me
Autumn: oh didn't i?
Autumn: there will be some photos on the site soon so you'll see it:)
Israel: sure will! can't wait!:D
Autumn: <file_other>
Autumn: haven't i showed you this?
Israel: noo!! it's wonderful!!
Autumn: thanks :)
Israel: can't wait to see the whole dress! :)",SAMSum,[]
1060,13829183,GPT-4,[],[],"Autumn and Israel are discussing their sewing projects. Autumn shares a file and questions whether she's showed Israel her most recent sewing project, a dress she's been working on. Israel is excited to see it but laments not having had any time to work on his own projects. Autumn informs him that photos of the dress will be posted on a site soon, and shares another file, which Israel marvels at.",0,[],"Autumn: u sewn anything?
Autumn: show me show me!! :D
Autumn: <file_gif>
Israel: no :(
Israel: haven''t had the time yet  ;(
Autumn: ooh :( 
Autumn: u need to have pririorities in life!
Autumn: like me - i haven''t checked the tests for a month because the dress wouldn''t sew itself :D
Israel: you''ve sewn a dres??
Israel: you didn''t show it to me
Autumn: oh didn''t i?
Autumn: there will be some photos on the site soon so you''ll see it:)
Israel: sure will! can''t wait!:D
Autumn: <file_other>
Autumn: haven''t i showed you this?
Israel: noo!! it''s wonderful!!
Autumn: thanks :)
Israel: can''t wait to see the whole dress! :)",SAMSum,[]
1061,13829183,Alpaca-13B,[],[],"Autumn and Israel are talking about sewing. Autumn has made a dress, but Israel hasn't had the time yet. Autumn teases Israel for not having prioritized sewing, and Israel is excited to see the photos of the dress soon.",0,[],"Autumn: u sewn anything?
Autumn: show me show me!! :D
Autumn: <file_gif>
Israel: no :(
Israel: haven''t had the time yet  ;(
Autumn: ooh :( 
Autumn: u need to have pririorities in life!
Autumn: like me - i haven''t checked the tests for a month because the dress wouldn''t sew itself :D
Israel: you''ve sewn a dres??
Israel: you didn''t show it to me
Autumn: oh didn''t i?
Autumn: there will be some photos on the site soon so you''ll see it:)
Israel: sure will! can''t wait!:D
Autumn: <file_other>
Autumn: haven''t i showed you this?
Israel: noo!! it''s wonderful!!
Autumn: thanks :)
Israel: can''t wait to see the whole dress! :)",SAMSum,[]
